,CL
2022-08-19 21:30:00,1459.5315189081605
2022-08-19 22:00:00,1451.2571922092693
2022-08-19 22:30:00,1075.012109468297
2022-08-19 23:00:00,963.2512160932612
2022-08-19 23:30:00,565.5789951663348
2022-08-20 00:00:00,730.9867804947398
2022-08-20 00:30:00,671.0521484219507
2022-08-20 01:00:00,602.3144657378448
2022-08-20 01:30:00,602.6551936309355
2022-08-20 02:00:00,575.7043321012227
2022-08-20 02:30:00,575.8234677281774
2022-08-20 03:00:00,443.3814634631791
2022-08-20 03:30:00,500.4754256468581
2022-08-20 04:00:00,499.506138185954
2022-08-20 04:30:00,498.9407205004266
2022-08-20 05:00:00,501.0004563548479
2022-08-20 05:30:00,500.1119428490192
2022-08-20 06:00:00,500.0311688939439
2022-08-20 06:30:00,505.8065066818313
2022-08-20 07:00:00,569.1990503269833
2022-08-20 07:30:00,606.4122547625817
2022-08-20 08:00:00,1141.9326164344614
2022-08-20 08:30:00,2034.765980096673
2022-08-20 09:00:00,1944.4212644299123
2022-08-20 09:30:00,1668.1416949104355
2022-08-20 10:00:00,1669.705350014217
2022-08-20 10:30:00,1685.2513579755478
2022-08-20 11:00:00,1682.3241956212682
2022-08-20 11:30:00,1684.0504708558435
2022-08-20 12:00:00,1675.7181251066254
2022-08-20 12:30:00,1676.5409948820022
2022-08-20 13:00:00,1713.9337367074213
2022-08-20 13:30:00,1715.4349647426789
2022-08-20 14:00:00,1713.7116678987777
2022-08-20 14:30:00,1682.256169178277
2022-08-20 15:00:00,1582.5563284048908
2022-08-20 15:30:00,1593.3300014216666
2022-08-20 16:00:00,1585.2727398350871
2022-08-20 16:30:00,1579.612129655957
2022-08-20 17:00:00,1585.6333633778793
2022-08-20 17:30:00,1585.0662777935745
2022-08-20 18:00:00,1581.4010702303103
2022-08-20 18:30:00,1387.7447981234006
2022-08-20 19:00:00,985.6126158657949
2022-08-20 19:30:00,875.6879599090134
2022-08-20 20:00:00,896.6337901620702
2022-08-20 20:30:00,886.91816064828
2022-08-20 21:00:00,810.6937568950813
2022-08-20 21:30:00,815.0380375319878
2022-08-20 22:00:00,774.7868746090421
2022-08-20 22:30:00,770.6248714813767
2022-08-20 23:00:00,710.366071367643
2022-08-20 23:30:00,474.1702792152405
2022-08-21 00:00:00,558.4623093545638
2022-08-21 00:30:00,587.3417384134206
2022-08-21 01:00:00,555.0937495024169
2022-08-21 01:30:00,556.4860875746376
2022-08-21 02:00:00,526.2837765140745
2022-08-21 02:30:00,529.9757895934036
2022-08-21 03:00:00,529.4639829400058
2022-08-21 03:30:00,499.4017753767416
2022-08-21 04:00:00,497.18704407165205
2022-08-21 04:30:00,500.7306141597953
2022-08-21 05:00:00,526.1987136764287
2022-08-21 05:30:00,525.3480852999716
2022-08-21 06:00:00,525.0078339493887
2022-08-21 06:30:00,523.9445484788171
2022-08-21 07:00:00,536.0660028433324
2022-08-21 07:30:00,597.3118416263862
2022-08-21 08:00:00,
2022-08-21 08:30:00,664.1888640887121
2022-08-21 09:00:00,1910.5070446403188
2022-08-21 09:30:00,1768.5122692635769
2022-08-21 10:00:00,1229.011586295138
2022-08-21 10:30:00,1322.6301489906173
2022-08-21 11:00:00,1316.166088143304
2022-08-21 11:30:00,1315.3299943133352
2022-08-21 12:00:00,1316.347889110037
2022-08-21 12:30:00,1317.741895081035
2022-08-21 13:00:00,1330.820127665624
2022-08-21 13:30:00,1438.8084722775093
2022-08-21 14:00:00,1397.970566391811
2022-08-21 14:30:00,1395.909043502985
2022-08-21 15:00:00,1302.902837930054
2022-08-21 15:30:00,1303.0786821154393
2022-08-21 16:00:00,1271.5773161785612
2022-08-21 16:30:00,1094.9406406027863
2022-08-21 17:00:00,1069.2211649132782
2022-08-21 17:30:00,852.4205336934888
2022-08-21 18:00:00,907.6954139891952
2022-08-21 18:30:00,922.363868922377
2022-08-21 19:00:00,921.1324830821724
2022-08-21 19:30:00,959.7939001990331
2022-08-21 20:00:00,879.5460480523175
2022-08-21 20:30:00,843.278899630367
2022-08-21 21:00:00,829.1822957065683
2022-08-21 21:30:00,819.0729229456924
2022-08-21 22:00:00,939.4441054876316
2022-08-21 22:30:00,857.29472959909
2022-08-21 23:00:00,567.0033807222067
2022-08-21 23:30:00,585.6183224338927
2022-08-22 00:00:00,583.7133437588853
